comid,tocomid,water,snow,developed_op,developed_lw,developed_md,developed_hg,barren,forest_dcd,forest_evg,forest_mxd,shrub,grass,pasture,crops,wetland_wood,wetland_herb,basin,forest_scp,grass_scp,shrub_scp,water_scp,human_scp,barren_scp,ht,hmax,hrel,simpson_d
24127583,24126153,0,0,3.63,0.64,0,0,0.39,0.28,58.73,0,35.53,0.81,0,0,0,0,yakima,59.01,0.81,35.53,0,4.27,0.39,1.26124518,2.584962501,0.487916238,0.52363979
24127585,24125545,0,0,3.67,1.54,0.05,0,0,0,83.74,0,6.48,1.59,0,0,2.93,0,yakima,83.74,1.59,6.48,2.93,5.26,0,0.937915159,2.584962501,0.362835112,0.29068414
24127587,24127721,0,0,0.12,3.32,0.71,0.24,2.2,0,78.64,0,5.04,7.6,0,0,2.14,0,yakima,78.64,7.6,5.04,2.14,4.39,2.2,1.210245738,2.584962501,0.468186961,0.37038971
24127589,24127549,0,0,5.75,0.91,0,0,0.3,0.25,80.72,0,8.85,2.86,0,0,0.36,0,yakima,80.97,2.86,8.85,0.36,6.66,0.3,1.017493155,2.584962501,0.393620083,0.33127818
24127591,24127621,0,0,0.08,0.2,0,0,0.28,0.2,62.92,0,13.46,22.67,0,0,0.05,0.15,yakima,63.12,22.67,13.46,0.2,0.28,0.28,1.359268663,2.584962501,0.525836898,0.53205683
24127593,24127621,0,0,1.82,0.65,0,0,0.6,0,77.98,0,8.62,8.5,0,0,1.81,0.02,yakima,77.98,8.5,8.62,1.83,2.47,0.6,1.168716638,2.584962501,0.452121312,0.37627554
24127597,24127589,0,0,12.69,2.99,0,0,1.64,0,64.93,0,11.64,6.12,0,0,0,0,yakima,64.93,6.12,11.64,0,15.68,1.64,1.528740669,2.584962501,0.591397619,0.53625991
24127599,24126635,0,0,1,0.2,0,0,0,0,72.37,0,18.73,7.69,0,0,0,0,yakima,72.37,7.69,18.73,0,1.2,0,1.151395087,2.584962501,0.445420422,0.43511941
24127601,24127721,0,0,0.15,3.41,0.52,0,6.31,0,84.2,0,4.97,0.45,0,0,0,0,yakima,84.2,0.45,4.97,0,4.08,6.31,0.899107838,2.584962501,0.347822391,0.28289941
24127603,24127631,0,0,0.02,3.92,2.12,0.95,0,0.36,83.75,0,5.98,2.89,0,0,0,0,yakima,84.11,2.89,5.98,0,7.01,0,0.869487742,2.584962501,0.336363774,0.28322553
24127605,24126149,0,0,0,0,0,0,1.98,0.75,57.35,0,36.44,2.19,0,0,1.28,0,yakima,58.1,2.19,36.44,1.28,0,1.98,1.299100456,2.584962501,0.502560658,0.52861615
