comid,logQ_m3_div_s,logRT_vertical_hz_s_fill,junk,doc,logq_hz_vertical_m_div_s_fill,logw_m,LengthKM,no3,do
23791903,-1.158789027,4.021855111,0.437972408,2.712840626,-4.708827048,0.174345224,2.992,1.114885256,9.599214876
23791905,-1.522239729,5.53028882,0.229092829,4.075611098,-6.551912333,0.067913032,2.397,2.956007604,7.868382353
23791907,-0.921512087,5.01594227,0.823884854,3.586464282,-5.576704963,0.370982483,2.154,1.672276422,9.015879805
23791909,-1.204743522,5.22853409,0.595319823,3.884569681,-5.95593085,0.254519794,1.485,2.948969595,7.868382353
23791911,-1.804445348,4.589340406,-0.088629293,3.791169932,-5.614197177,-0.09397863,1.209,2.101562243,9.356761576
23791913,-0.883689312,4.076708712,0.735926094,3.833727341,-4.600429807,0.326164106,3.198,1.652103029,9.303999601
23791915,-1.197319503,3.962366171,0.54863506,3.567146939,-4.606550019,0.230732109,1.923,1.523617738,9.916129568
23791917,0.038114331,5.438871764,1.796014801,3.9500792,-5.47058248,0.866320145,5.399,3.111848083,7.868382353
23791919,-0.901061488,5.569868685,0.88559866,3.91904701,-6.225848141,0.402428045,1.752,3.017284321,7.868382353
23791921,-0.396891859,5.924895374,1.373702582,3.989298178,-6.671009145,0.651135799,5.848,3.095318486,7.868382353
23791923,-0.059376195,3.903517291,1.698973479,4.381584681,-3.951402453,0.816873852,0.623,3.148637541,7.868382353
23791925,-0.647314928,5.311708178,1.136600089,3.867885954,-5.76025019,0.530322944,3.745,3.080273617,7.868382353
23791927,-1.37013014,6.449507094,0.379939723,4.10763082,-8.552841969,0.144775335,3.064,3.098543561,7.868382353
23791929,-0.063256759,4.533001616,1.695086604,4.059150791,-7.110698297,0.81489334,0.917,3.148194969,7.868382353
23791931,-0.900669967,5.204509258,0.87841838,4.401190402,-10,0.398769416,1.881,2.868231779,7.868382353
23791935,-0.070457632,5.742140608,1.687897108,4.006203855,-5.97905894,0.811230014,0.813,3.149704679,7.868382353
23791937,-0.092318577,4.440712248,1.666117196,4.082621546,-7.573488739,0.80013231,0.336,3.155543951,7.868382353
23791939,-1.07990332,6.185137881,0.709202097,4.01751382,-7.391473966,0.3125472,4.082,2.911883669,7.868382353
23791941,-1.014946089,6.352045059,0.769155691,4.404683131,-8.356659889,0.343095866,0.214,3.326449266,7.868382353
23791943,-0.155645152,4.891905785,1.603908319,4.379556683,-7.352714062,0.76843449,0.163,3.129174139,7.868382353
23791945,-0.15946315,4.424511894,1.600096893,4.379625199,-7.860120914,0.766492422,0.46,3.131752492,7.868382353
23791947,-0.16496605,4.421984137,1.594644434,4.379670311,-6.964970718,0.763714184,0.562,3.123302764,7.868382353
23791949,-1.019681335,6.160470779,0.764475027,4.077619083,-7.284832642,0.340710888,1.693,3.347510091,7.868382353
23791951,-1.167382109,6.270955563,0.618790472,4.418026017,-9.522878745,0.266478994,4.012,3.047678725,7.868382353
23791953,-1.1015733,6.313132763,0.693260755,4.405317702,-8.721246399,0.304424473,3.478,3.349238422,7.868382353
23791955,-1.103754123,6.139883041,0.67966406,4.408953376,-9.323933601,0.297496432,3.397,2.818641761,7.868382353
23791957,-0.167002584,4.422555694,1.592621931,3.968199033,-7.449771647,0.762683641,1.457,3.118165265,7.868382353
23791959,-1.168105933,6.172434053,0.6183201,4.411763672,-7.860120914,0.266239321,2.422,3.466005636,7.868382353
23791961,-1.283373383,6.24899247,0.511990251,4.168107809,-8.27572413,0.212060167,0.92,3.340446519,7.868382353
